Date,Revenue,Marketing Spend (Google),Marketing Spend (LinkedIn),Marketing Spend (Campus),Marketing Spend (Events),Operational Costs,Number of Enrollments,Retention Rates,Seasonal Trends,Conversions (Google),Conversions (LinkedIn),Conversions (Campus),Conversions (Events),Leads Generated (Google),Leads Generated (LinkedIn),Leads Generated (Campus),Leads Generated (Events),Customer Acquisition Cost (Google),Customer Acquisition Cost (LinkedIn),Customer Acquisition Cost (Campus),Customer Acquisition Cost (Events),Payment Terms,Fixed Costs,Variable Costs,Liabilities
2019-01-01,24977.85,2046.82,2630.39,2120.64,2688.78,4868.2,53,0.91,Medium,13,8,4,4,14,13,17,10,57.65,169.96,204.27,81.91,90 days,3384.94,2765.4,1312.65
2019-01-02,23814.9,1987.92,3377.38,930.97,2593.12,4664.56,44,0.9,Medium,13,9,5,4,20,21,4,11,199.28,218.45,217.9,223.94,30 days,3125.36,1657.8,4098.34
2019-01-03,30708.4,4625.02,3232.51,2680.99,877.69,3880.77,51,0.92,Low,10,11,5,5,20,12,14,11,199.97,169.1,200.7,228.11,90 days,3941.42,2019.7,1098.32
2019-01-04,24294.77,1998.18,1292.48,2032.79,3275.46,6036.33,48,0.94,Medium,11,8,5,9,20,16,12,11,78.76,72.03,85.03,110.73,90 days,4166.33,1281.52,4680.17
2019-01-05,20139.84,2087.8,1277.6,893.01,2248.57,5383.12,49,0.81,Low,16,4,8,2,19,17,12,10,70.07,146.73,121.79,121.42,30 days,4305.8,2212.6,2483.33
2019-01-06,30694.39,4037.59,1658.16,2905.85,1654.8,7328.5,68,0.94,Medium,10,9,2,6,25,16,11,10,79.67,193.51,135.24,66.65,30 days,4358.47,2796.67,1574.63
2019-01-07,24772.09,2798.96,1955.44,1795.91,2793.96,3160.55,43,0.88,Low,4,12,3,9,20,15,6,6,126.7,212.74,109.04,222.74,30 days,3060.7,2493.68,4443.54
2019-01-08,24399.08,4106.84,2107.06,682.25,1346.36,6219.34,42,0.72,Low,7,7,3,4,19,21,13,12,98.18,176.42,156.64,216.41,60 days,3846.16,2146.01,2417.78
2019-01-09,24266.85,1261.46,2975.03,2067.08,2611.18,6814.74,48,0.87,Medium,7,9,7,3,18,14,8,10,100.45,109.55,127.51,84.13,30 days,3518.87,2041.01,3284.27
2019-01-10,19104.31,2950.28,981.38,1133.0,715.16,6797.43,49,0.87,Medium,10,7,7,10,15,17,14,15,171.44,100.19,76.56,125.24,90 days,3920.22,2203.61,2973.72
2019-01-11,22789.98,1134.45,910.95,2509.23,3034.28,7430.37,55,0.93,Low,7,11,7,8,21,17,12,17,183.53,185.41,187.37,224.5,90 days,3061.9,2257.42,3391.74
2019-01-12,21629.7,1250.61,2054.11,2544.56,1899.7,6645.17,49,0.79,High,9,8,3,8,26,14,10,9,195.47,181.65,148.47,85.76,90 days,2574.07,2225.1,1714.92
